id,name,category,price,image,description,brand,dimensions,material,color
1,Modern Sectional Sofa,Sofa,1299,https://images.pexels.com/photos/1350789/pexels-photo-1350789.jpeg,Comfortable modern sectional sofa with premium fabric upholstery,Brightet Home,280cm x 180cm x 85cm,Premium Fabric,Charcoal Gray
2,Scandinavian Coffee Table,Table,449,https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg,Minimalist oak wood coffee table with clean lines,Nordic Design,120cm x 60cm x 45cm,Oak Wood,Natural Oak
3,Luxury King Bed Frame,Bed,899,https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg,Elegant upholstered king bed frame with tufted headboard,Brightet Luxury,200cm x 180cm x 120cm,Velvet Upholstery,Deep Navy
4,Modern Dining Set,Dining,1599,https://images.pexels.com/photos/1080721/pexels-photo-1080721.jpeg,Contemporary 6-seater dining set with marble top,Brightet Modern,180cm x 90cm x 75cm,Marble & Steel,White Marble
5,Executive Office Chair,Chair,599,https://images.pexels.com/photos/2182970/pexels-photo-2182970.jpeg,Ergonomic leather office chair with lumbar support,Brightet Office,65cm x 65cm x 120cm,Genuine Leather,Black
6,Minimalist Wardrobe,Storage,1199,https://images.pexels.com/photos/1571468/pexels-photo-1571468.jpeg,Spacious 3-door wardrobe with mirror and drawers,Brightet Storage,180cm x 60cm x 220cm,MDF & Mirror,White
7,Accent Armchair,Chair,699,https://images.pexels.com/photos/1571453/pexels-photo-1571453.jpeg,Stylish velvet accent chair perfect for any room,Brightet Accent,75cm x 80cm x 85cm,Velvet,Emerald Green
8,Modern TV Console,Storage,799,https://images.pexels.com/photos/1571467/pexels-photo-1571467.jpeg,Sleek TV console with cable management and storage,Brightet Media,160cm x 45cm x 55cm,Walnut Wood,Dark Walnut
9,Luxury Dining Chair Set,Chair,899,https://images.pexels.com/photos/1571453/pexels-photo-1571453.jpeg,Set of 4 premium dining chairs with leather upholstery,Brightet Dining,45cm x 50cm x 85cm,Leather & Wood,Cognac Brown
10,Glass Coffee Table,Table,649,https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg,Modern tempered glass coffee table with metal frame,Brightet Glass,110cm x 60cm x 40cm,Tempered Glass,Clear
11,Platform Bed,Bed,749,https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg,Minimalist platform bed with built-in nightstands,Brightet Sleep,160cm x 200cm x 35cm,Engineered Wood,Walnut
12,Modular Bookshelf,Storage,549,https://images.pexels.com/photos/1571468/pexels-photo-1571468.jpeg,Versatile modular bookshelf system,Brightet Storage,80cm x 30cm x 180cm,Pine Wood,Natural Pine
13,Leather Recliner,Chair,1299,https://images.pexels.com/photos/1571453/pexels-photo-1571453.jpeg,Premium leather recliner with massage function,Brightet Comfort,90cm x 95cm x 105cm,Top Grain Leather,Dark Brown
14,Marble Side Table,Table,399,https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg,Elegant marble side table with gold legs,Brightet Luxury,40cm x 40cm x 55cm,Marble & Brass,White Marble
15,Queen Bed Frame,Bed,649,https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg,Contemporary queen bed frame with fabric headboard,Brightet Sleep,160cm x 200cm x 110cm,Fabric & Wood,Light Gray
16,Corner Desk,Storage,459,https://images.pexels.com/photos/1571467/pexels-photo-1571467.jpeg,Space-saving corner desk with drawers,Brightet Office,120cm x 120cm x 75cm,MDF,White Oak
17,Velvet Sofa,Sofa,1599,https://images.pexels.com/photos/1350789/pexels-photo-1350789.jpeg,Luxurious 3-seater velvet sofa,Brightet Luxury,200cm x 90cm x 85cm,Velvet,Royal Blue
18,Bar Stool Set,Chair,349,https://images.pexels.com/photos/1571453/pexels-photo-1571453.jpeg,Set of 2 adjustable bar stools,Brightet Bar,40cm x 40cm x 75cm,Metal & PU,Black
19,Entertainment Center,Storage,899,https://images.pexels.com/photos/1571467/pexels-photo-1571467.jpeg,Large entertainment center with cable management,Brightet Media,180cm x 45cm x 60cm,Engineered Wood,Espresso
20,Accent Mirror,Decor,299,https://images.pexels.com/photos/1571468/pexels-photo-1571468.jpeg,Large decorative wall mirror with gold frame,Brightet Decor,80cm x 120cm x 3cm,Glass & Metal,Gold Frame